Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.500000000E+09
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,1.053575e-02, 2.231821e-03
1.009987e+07,1.002943e-02, -3.783911e-03
2.009973e+07,9.270112e-03, -3.308417e-06
3.009960e+07,9.835003e-03, -8.677854e-04
4.009947e+07,8.757313e-03, 1.979276e-03
5.009933e+07,1.075939e-02, -6.353770e-04
6.009920e+07,1.036262e-02, -1.012446e-04
7.009907e+07,9.753147e-03, 1.153562e-03
8.009893e+07,7.850499e-03, 2.258593e-03
9.009880e+07,7.365631e-03, 2.396856e-03
1.000987e+08,1.145136e-02, 6.601251e-04
1.100985e+08,8.772698e-03, 1.698421e-03
1.200984e+08,7.250998e-03, 1.768328e-03
1.300983e+08,6.206481e-03, 1.710006e-03
1.400981e+08,1.206320e-02, 1.391370e-03
1.500980e+08,1.507417e-02, 1.891317e-03
1.600979e+08,9.050964e-03, 1.141935e-03
1.700977e+08,9.405579e-03, 1.336101e-03
1.800976e+08,1.045542e-02, 1.778286e-03
1.900975e+08,5.399411e-03, -8.687918e-04
2.000973e+08,5.385531e-03, -1.518179e-03
2.100972e+08,1.131173e-02, 3.362167e-03
2.200971e+08,1.064573e-02, 3.192261e-03
2.300969e+08,1.140037e-02, 4.459305e-03
2.400968e+08,8.202096e-03, -5.626139e-04
2.500967e+08,8.639908e-03, 2.420939e-04
2.600965e+08,7.967320e-03, -8.769232e-04
2.700964e+08,9.588289e-03, 2.987151e-03
2.800963e+08,8.531645e-03, -1.949324e-03
2.900961e+08,9.046889e-03, 2.421126e-03
3.000960e+08,9.289554e-03, 2.563903e-03
3.100959e+08,9.028567e-03, 4.235262e-03
3.200957e+08,8.100280e-03, 6.453707e-03
3.300956e+08,1.029642e-02, 5.995117e-04
3.400955e+08,8.396384e-03, 5.486901e-03
3.500953e+08,6.727751e-03, 7.568814e-03
3.600952e+08,7.546055e-03, 4.996585e-03
3.700951e+08,8.960422e-03, 3.720982e-03
3.800949e+08,1.339024e-02, 1.269453e-03
3.900948e+08,9.132537e-03, 3.836931e-03
4.000947e+08,6.655701e-03, 4.677880e-03
4.100945e+08,8.190685e-03, 4.157043e-03
4.200944e+08,7.488564e-03, 4.286267e-03
4.300943e+08,8.466729e-03, 3.918566e-03
4.400941e+08,1.687069e-02, 4.960032e-03
4.500940e+08,9.937607e-03, 4.289509e-03
4.600939e+08,6.959936e-03, 4.093842e-03
4.700937e+08,1.027662e-02, 5.592982e-03
4.800936e+08,5.761030e-03, 3.330544e-03
4.900935e+08,9.087859e-03, 5.504447e-03
5.000933e+08,7.299340e-03, 3.680472e-03
5.100932e+08,6.632614e-03, 3.063137e-03
5.200931e+08,8.144513e-03, 4.844864e-03
5.300929e+08,7.244660e-03, 3.291119e-03
5.400928e+08,7.491888e-03, 3.704756e-03
5.500927e+08,7.859148e-03, 4.106328e-03
5.600925e+08,8.377142e-03, 7.024346e-03
5.700924e+08,8.388519e-03, 1.031182e-02
5.800923e+08,8.045442e-03, 7.058696e-03
5.900921e+08,7.803273e-03, 7.409808e-03
6.000920e+08,7.326302e-03, 8.125470e-03
6.100919e+08,8.554819e-03, 3.678137e-03
6.200917e+08,6.392588e-03, 8.556831e-03
6.300916e+08,8.357396e-03, 4.938585e-03
6.400915e+08,1.010895e-02, 2.373542e-03
6.500913e+08,9.660216e-03, 3.904191e-03
6.600912e+08,7.287484e-03, 6.230301e-03
6.700911e+08,7.543254e-03, 6.149902e-03
