Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.500000000E+09
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,9.444546e-01, -8.737998e-03
1.009987e+07,9.630516e-01, 2.034850e-02
2.009973e+07,9.648965e-01, 3.835908e-02
3.009960e+07,9.680663e-01, 6.085324e-02
4.009947e+07,9.782165e-01, 6.233685e-02
5.009933e+07,9.832920e-01, 8.551671e-02
6.009920e+07,9.896890e-01, 9.975483e-02
7.009907e+07,9.893954e-01, 1.282634e-01
8.009893e+07,1.003337e+00, 1.226202e-01
9.009880e+07,1.000404e+00, 1.458035e-01
1.000987e+08,1.007095e+00, 1.499930e-01
1.100985e+08,1.008277e+00, 1.583794e-01
1.200984e+08,1.016320e+00, 1.614591e-01
1.300983e+08,1.022296e+00, 1.574601e-01
1.400981e+08,1.008241e+00, 1.793745e-01
1.500980e+08,1.009319e+00, 1.817778e-01
1.600979e+08,1.008011e+00, 1.880655e-01
1.700977e+08,1.010317e+00, 1.904579e-01
1.800976e+08,1.009336e+00, 1.966199e-01
1.900975e+08,1.000904e+00, 2.042595e-01
2.000973e+08,1.003442e+00, 2.087131e-01
2.100972e+08,9.857332e-01, 2.235889e-01
2.200971e+08,9.772730e-01, 2.317331e-01
2.300969e+08,9.745036e-01, 2.416844e-01
2.400968e+08,9.741648e-01, 2.498296e-01
2.500967e+08,9.614040e-01, 2.614505e-01
2.600965e+08,9.512721e-01, 2.774961e-01
2.700964e+08,9.491028e-01, 2.891060e-01
2.800963e+08,9.440599e-01, 3.024583e-01
2.900961e+08,9.465849e-01, 3.153848e-01
3.000960e+08,9.429171e-01, 3.277760e-01
3.100959e+08,9.419625e-01, 3.389373e-01
3.200957e+08,9.345364e-01, 3.516420e-01
3.300956e+08,9.370902e-01, 3.611514e-01
3.400955e+08,9.337455e-01, 3.708811e-01
3.500953e+08,9.364106e-01, 3.804475e-01
3.600952e+08,9.333199e-01, 3.890163e-01
3.700951e+08,9.206031e-01, 3.950116e-01
3.800949e+08,9.207547e-01, 4.045646e-01
3.900948e+08,9.172117e-01, 4.122253e-01
4.000947e+08,9.071916e-01, 4.173236e-01
4.100945e+08,9.055294e-01, 4.294203e-01
4.200944e+08,8.927250e-01, 4.327112e-01
4.300943e+08,8.881904e-01, 4.471972e-01
4.400941e+08,8.756792e-01, 4.553601e-01
4.500940e+08,8.666346e-01, 4.638095e-01
4.600939e+08,8.578197e-01, 4.775894e-01
4.700937e+08,8.480646e-01, 4.949307e-01
4.800936e+08,8.356660e-01, 4.999548e-01
4.900935e+08,8.286862e-01, 5.176742e-01
5.000933e+08,8.204385e-01, 5.360545e-01
5.100932e+08,8.488610e-01, 5.450693e-01
5.200931e+08,8.442336e-01, 5.634636e-01
5.300929e+08,8.389515e-01, 5.699007e-01
5.400928e+08,8.353698e-01, 5.738645e-01
5.500927e+08,8.322544e-01, 5.775537e-01
5.600925e+08,8.194708e-01, 5.884351e-01
5.700924e+08,8.153987e-01, 6.101529e-01
5.800923e+08,8.135309e-01, 6.270459e-01
5.900921e+08,8.095864e-01, 6.246904e-01
6.000920e+08,8.011208e-01, 6.313054e-01
6.100919e+08,7.873130e-01, 6.479015e-01
6.200917e+08,7.841545e-01, 6.486646e-01
6.300916e+08,7.839270e-01, 6.588903e-01
6.400915e+08,7.777358e-01, 6.567182e-01
6.500913e+08,7.795895e-01, 6.691030e-01
6.600912e+08,7.551006e-01, 6.806480e-01
6.700911e+08,7.429653e-01, 6.920377e-01
