Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.500000000E+09
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-9.418521e-01, -4.177323e-03
1.009987e+07,-9.633015e-01, -2.107361e-02
2.009973e+07,-9.642093e-01, -4.573596e-02
3.009960e+07,-9.673471e-01, -6.410553e-02
4.009947e+07,-9.764727e-01, -6.750122e-02
5.009933e+07,-9.807506e-01, -9.125105e-02
6.009920e+07,-9.860649e-01, -1.032069e-01
7.009907e+07,-9.907532e-01, -1.277284e-01
8.009893e+07,-1.005998e+00, -1.288990e-01
9.009880e+07,-1.005173e+00, -1.387783e-01
1.000987e+08,-1.005618e+00, -1.483691e-01
1.100985e+08,-1.013480e+00, -1.580156e-01
1.200984e+08,-1.012592e+00, -1.625414e-01
1.300983e+08,-1.023049e+00, -1.636237e-01
1.400981e+08,-1.004834e+00, -1.733053e-01
1.500980e+08,-1.016053e+00, -1.825946e-01
1.600979e+08,-1.002125e+00, -1.841405e-01
1.700977e+08,-1.008957e+00, -1.947358e-01
1.800976e+08,-1.005211e+00, -2.019778e-01
1.900975e+08,-1.000401e+00, -2.105493e-01
2.000973e+08,-9.973765e-01, -2.128728e-01
2.100972e+08,-9.800855e-01, -2.192539e-01
2.200971e+08,-9.788267e-01, -2.314324e-01
2.300969e+08,-9.726934e-01, -2.440098e-01
2.400968e+08,-9.692880e-01, -2.468552e-01
2.500967e+08,-9.612635e-01, -2.683553e-01
2.600965e+08,-9.492043e-01, -2.743086e-01
2.700964e+08,-9.489845e-01, -2.923971e-01
2.800963e+08,-9.427921e-01, -2.996080e-01
2.900961e+08,-9.430130e-01, -3.066738e-01
3.000960e+08,-9.409549e-01, -3.300165e-01
3.100959e+08,-9.391073e-01, -3.410774e-01
3.200957e+08,-9.333064e-01, -3.495919e-01
3.300956e+08,-9.327678e-01, -3.653713e-01
3.400955e+08,-9.292729e-01, -3.778471e-01
3.500953e+08,-9.362068e-01, -3.765616e-01
3.600952e+08,-9.307810e-01, -3.878476e-01
3.700951e+08,-9.167154e-01, -3.968590e-01
3.800949e+08,-9.187952e-01, -4.012585e-01
3.900948e+08,-9.151285e-01, -4.089111e-01
4.000947e+08,-9.009114e-01, -4.243172e-01
4.100945e+08,-8.994843e-01, -4.323192e-01
4.200944e+08,-8.870729e-01, -4.367012e-01
4.300943e+08,-8.788747e-01, -4.485545e-01
4.400941e+08,-8.657258e-01, -4.577536e-01
4.500940e+08,-8.624068e-01, -4.672757e-01
4.600939e+08,-8.541600e-01, -4.825818e-01
4.700937e+08,-8.392065e-01, -4.951289e-01
4.800936e+08,-8.306450e-01, -5.046768e-01
4.900935e+08,-8.304059e-01, -5.223963e-01
5.000933e+08,-8.107768e-01, -5.363510e-01
5.100932e+08,-8.504905e-01, -5.431250e-01
5.200931e+08,-8.430299e-01, -5.563163e-01
5.300929e+08,-8.334275e-01, -5.656112e-01
5.400928e+08,-8.307271e-01, -5.790884e-01
5.500927e+08,-8.280838e-01, -5.816721e-01
5.600925e+08,-8.125930e-01, -5.959074e-01
5.700924e+08,-8.176481e-01, -6.089204e-01
5.800923e+08,-8.106752e-01, -6.242680e-01
5.900921e+08,-8.072692e-01, -6.243061e-01
6.000920e+08,-8.000286e-01, -6.319402e-01
6.100919e+08,-7.854971e-01, -6.469618e-01
6.200917e+08,-7.812009e-01, -6.536632e-01
6.300916e+08,-7.795952e-01, -6.607951e-01
6.400915e+08,-7.671320e-01, -6.640111e-01
