Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.500000000E+09
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,2.330534e-04, 1.792189e-03
1.009987e+07,4.176161e-04, -4.324214e-03
2.009973e+07,-3.367213e-04, -3.929452e-04
3.009960e+07,2.113934e-04, -1.517043e-03
4.009947e+07,-8.382286e-04, 1.305847e-03
5.009933e+07,1.017990e-03, -1.303319e-03
6.009920e+07,7.070990e-04, -1.040620e-03
7.009907e+07,1.489755e-04, -5.472776e-05
8.009893e+07,-1.832616e-03, 1.131596e-03
9.009880e+07,-2.684030e-03, 1.367795e-03
1.000987e+08,1.888279e-03, -6.919098e-04
1.100985e+08,-1.242028e-03, 4.583668e-04
1.200984e+08,-2.514950e-03, 4.185382e-04
1.300983e+08,-3.905946e-03, 4.484534e-04
1.400981e+08,2.432800e-03, -9.191442e-05
1.500980e+08,5.138611e-03, 3.768565e-04
1.600979e+08,-1.234316e-03, -5.075173e-04
1.700977e+08,-6.247923e-04, -3.492614e-04
1.800976e+08,8.078044e-04, 1.270566e-04
1.900975e+08,-4.279691e-03, -2.634073e-03
2.000973e+08,-4.482455e-03, -3.449494e-03
2.100972e+08,1.262873e-03, 9.705028e-04
2.200971e+08,1.215001e-03, 1.164506e-03
2.300969e+08,1.751387e-03, 2.015936e-03
2.400968e+08,-1.110617e-03, -2.606155e-03
2.500967e+08,-7.252219e-04, -2.289118e-03
2.600965e+08,-1.250656e-03, -3.299824e-03
2.700964e+08,2.409003e-04, -1.822264e-04
2.800963e+08,-7.340240e-04, -5.348820e-03
2.900961e+08,-1.791408e-04, -3.272523e-04
3.000960e+08,1.811258e-05, -1.751958e-04
3.100959e+08,-2.555183e-04, 1.066596e-03
3.200957e+08,-1.237164e-03, 3.488160e-03
3.300956e+08,1.036973e-03, -2.854133e-03
3.400955e+08,-9.153760e-04, 2.147318e-03
3.500953e+08,-2.343960e-03, 3.676688e-03
3.600952e+08,-1.658810e-03, 1.194348e-03
3.700951e+08,3.752148e-05, -2.806914e-04
3.800949e+08,3.685972e-03, -2.191592e-03
3.900948e+08,-1.688888e-04, 7.666645e-06
4.000947e+08,-2.169425e-03, 5.981518e-04
4.100945e+08,-1.101093e-03, 1.080868e-04
4.200944e+08,-1.106615e-03, 7.570024e-05
4.300943e+08,-5.143847e-07, -3.462745e-04
4.400941e+08,9.009522e-03, 7.174512e-04
4.500940e+08,1.266033e-03, -9.514696e-05
4.600939e+08,-1.578979e-03, -4.468268e-04
4.700937e+08,1.935432e-03, 9.704988e-04
4.800936e+08,-2.225126e-03, -1.209514e-03
4.900935e+08,9.560315e-04, 7.376673e-04
5.000933e+08,-4.265408e-04, -8.678560e-04
5.100932e+08,-1.810843e-03, -2.199673e-03
5.200931e+08,2.596246e-05, -2.254917e-04
5.300929e+08,-7.636845e-04, -1.736446e-03
5.400928e+08,-7.136622e-04, -1.860891e-03
5.500927e+08,-1.550187e-04, -1.052276e-03
5.600925e+08,5.330183e-04, 2.010010e-03
5.700924e+08,5.028648e-04, 5.328732e-03
5.800923e+08,1.146669e-04, 1.523595e-03
5.900921e+08,-5.834838e-05, 1.569449e-03
6.000920e+08,-5.127945e-04, 2.369352e-03
6.100919e+08,9.739005e-04, -2.593027e-03
6.200917e+08,-1.270228e-03, 2.548940e-03
6.300916e+08,5.850647e-04, -9.470576e-04
6.400915e+08,2.753204e-03, -3.950401e-03
6.500913e+08,1.645045e-03, -1.845377e-03
6.600912e+08,9.446797e-05, -2.256021e-04
