Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.500000000E+09
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,9.451618e-01, -1.053648e-02
1.009987e+07,9.629482e-01, 2.156254e-02
2.009973e+07,9.645412e-01, 4.184468e-02
3.009960e+07,9.678159e-01, 6.455130e-02
4.009947e+07,9.776329e-01, 6.834658e-02
5.009933e+07,9.826089e-01, 9.235525e-02
6.009920e+07,9.886951e-01, 1.082714e-01
7.009907e+07,9.883394e-01, 1.373918e-01
8.009893e+07,1.001829e+00, 1.338682e-01
9.009880e+07,9.988449e-01, 1.577478e-01
1.000987e+08,1.005068e+00, 1.635406e-01
1.100985e+08,1.006492e+00, 1.727987e-01
1.200984e+08,1.013939e+00, 1.778328e-01
1.300983e+08,1.020033e+00, 1.750867e-01
1.400981e+08,1.005088e+00, 1.979855e-01
1.500980e+08,1.006090e+00, 2.014767e-01
1.600979e+08,1.003915e+00, 2.096730e-01
1.700977e+08,1.005616e+00, 2.135538e-01
1.800976e+08,1.004377e+00, 2.209077e-01
1.900975e+08,9.952256e-01, 2.299256e-01
2.000973e+08,9.971919e-01, 2.358687e-01
2.100972e+08,9.794366e-01, 2.510133e-01
2.200971e+08,9.700681e-01, 2.602321e-01
2.300969e+08,9.669160e-01, 2.713673e-01
2.400968e+08,9.651130e-01, 2.810156e-01
2.500967e+08,9.522015e-01, 2.933470e-01
2.600965e+08,9.408928e-01, 3.104243e-01
2.700964e+08,9.382522e-01, 3.230767e-01
2.800963e+08,9.318150e-01, 3.375775e-01
2.900961e+08,9.334523e-01, 3.517883e-01
3.000960e+08,9.290431e-01, 3.652579e-01
3.100959e+08,9.272646e-01, 3.776975e-01
3.200957e+08,9.189168e-01, 3.912849e-01
3.300956e+08,9.203165e-01, 4.020930e-01
3.400955e+08,9.163165e-01, 4.130945e-01
3.500953e+08,9.177872e-01, 4.237877e-01
3.600952e+08,9.136605e-01, 4.335893e-01
3.700951e+08,9.000162e-01, 4.398474e-01
3.800949e+08,8.987717e-01, 4.502385e-01
3.900948e+08,8.943549e-01, 4.590952e-01
4.000947e+08,8.838269e-01, 4.652404e-01
4.100945e+08,8.808066e-01, 4.783730e-01
4.200944e+08,8.674187e-01, 4.823127e-01
4.300943e+08,8.612715e-01, 4.976713e-01
4.400941e+08,8.478597e-01, 5.051894e-01
4.500940e+08,8.373244e-01, 5.146909e-01
4.600939e+08,8.271662e-01, 5.296394e-01
4.700937e+08,8.155723e-01, 5.470975e-01
4.800936e+08,8.020422e-01, 5.532269e-01
4.900935e+08,7.934654e-01, 5.704698e-01
5.000933e+08,7.828306e-01, 5.904657e-01
5.100932e+08,8.096431e-01, 6.022288e-01
5.200931e+08,8.030763e-01, 6.204511e-01
5.300929e+08,7.963748e-01, 6.280714e-01
5.400928e+08,7.918331e-01, 6.343995e-01
5.500927e+08,7.880221e-01, 6.368814e-01
5.600925e+08,7.740209e-01, 6.481600e-01
5.700924e+08,7.676855e-01, 6.701266e-01
5.800923e+08,7.626774e-01, 6.887585e-01
5.900921e+08,7.582324e-01, 6.870142e-01
6.000920e+08,7.484301e-01, 6.939125e-01
6.100919e+08,7.317877e-01, 7.097016e-01
6.200917e+08,7.285555e-01, 7.117191e-01
6.300916e+08,7.254543e-01, 7.229722e-01
6.400915e+08,7.179011e-01, 7.213880e-01
6.500913e+08,7.185611e-01, 7.341333e-01
6.600912e+08,6.927060e-01, 7.441610e-01
6.700911e+08,6.780437e-01, 7.553535e-01
