Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.500000000E+09
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-9.429798e-01, -7.009415e-03
1.009987e+07,-9.631494e-01, -2.235626e-02
2.009973e+07,-9.640364e-01, -4.832069e-02
3.009960e+07,-9.669263e-01, -6.796335e-02
4.009947e+07,-9.759885e-01, -7.266778e-02
5.009933e+07,-9.803116e-01, -9.781333e-02
6.009920e+07,-9.853557e-01, -1.110344e-01
7.009907e+07,-9.893559e-01, -1.366433e-01
8.009893e+07,-1.005027e+00, -1.395092e-01
9.009880e+07,-1.003620e+00, -1.504091e-01
1.000987e+08,-1.004112e+00, -1.614992e-01
1.100985e+08,-1.011857e+00, -1.726686e-01
1.200984e+08,-1.010610e+00, -1.782325e-01
1.300983e+08,-1.021009e+00, -1.808943e-01
1.400981e+08,-1.001948e+00, -1.910409e-01
1.500980e+08,-1.013418e+00, -2.027946e-01
1.600979e+08,-9.987979e-01, -2.043315e-01
1.700977e+08,-1.005209e+00, -2.164737e-01
1.800976e+08,-1.001689e+00, -2.260001e-01
1.900975e+08,-9.960586e-01, -2.347213e-01
2.000973e+08,-9.928660e-01, -2.383186e-01
2.100972e+08,-9.748352e-01, -2.452674e-01
2.200971e+08,-9.728042e-01, -2.582654e-01
2.300969e+08,-9.661651e-01, -2.724519e-01
2.400968e+08,-9.628388e-01, -2.770319e-01
2.500967e+08,-9.536882e-01, -3.000347e-01
2.600965e+08,-9.412418e-01, -3.059559e-01
2.700964e+08,-9.398011e-01, -3.249593e-01
2.800963e+08,-9.334184e-01, -3.333659e-01
2.900961e+08,-9.329556e-01, -3.407314e-01
3.000960e+08,-9.292279e-01, -3.665115e-01
3.100959e+08,-9.267882e-01, -3.774204e-01
3.200957e+08,-9.201320e-01, -3.872970e-01
3.300956e+08,-9.187278e-01, -4.048831e-01
3.400955e+08,-9.134958e-01, -4.185266e-01
3.500953e+08,-9.213026e-01, -4.167255e-01
3.600952e+08,-9.145413e-01, -4.297736e-01
3.700951e+08,-8.994263e-01, -4.396986e-01
3.800949e+08,-9.012077e-01, -4.456570e-01
3.900948e+08,-8.962183e-01, -4.539701e-01
4.000947e+08,-8.804834e-01, -4.692981e-01
4.100945e+08,-8.785778e-01, -4.780630e-01
4.200944e+08,-8.643536e-01, -4.834779e-01
4.300943e+08,-8.557433e-01, -4.955186e-01
4.400941e+08,-8.415965e-01, -5.058136e-01
4.500940e+08,-8.371481e-01, -5.154265e-01
4.600939e+08,-8.267210e-01, -5.311701e-01
4.700937e+08,-8.112578e-01, -5.437909e-01
4.800936e+08,-8.018823e-01, -5.533626e-01
4.900935e+08,-7.989595e-01, -5.728556e-01
5.000933e+08,-7.776360e-01, -5.858679e-01
5.100932e+08,-8.172109e-01, -5.965031e-01
5.200931e+08,-8.082704e-01, -6.102843e-01
5.300929e+08,-7.980570e-01, -6.198837e-01
5.400928e+08,-7.933275e-01, -6.341075e-01
5.500927e+08,-7.888311e-01, -6.373983e-01
5.600925e+08,-7.710194e-01, -6.513097e-01
5.700924e+08,-7.749134e-01, -6.662492e-01
5.800923e+08,-7.662655e-01, -6.815898e-01
5.900921e+08,-7.621891e-01, -6.825241e-01
6.000920e+08,-7.533486e-01, -6.903580e-01
6.100919e+08,-7.377248e-01, -7.054991e-01
6.200917e+08,-7.313088e-01, -7.123903e-01
6.300916e+08,-7.288168e-01, -7.205197e-01
6.400915e+08,-7.155052e-01, -7.235505e-01
