Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.499900000E+09
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,1.765527e-03, -2.530130e-03
3.759900e+07,5.899088e-04, -1.924383e-03
7.509800e+07,-2.162318e-03, 3.485851e-03
1.125970e+08,-4.474849e-03, 4.681599e-03
1.500960e+08,-2.131419e-03, 1.243770e-03
1.875950e+08,-5.131189e-04, 1.118184e-04
2.250940e+08,1.228742e-03, -6.461366e-05
2.625930e+08,1.127755e-03, 7.570508e-05
3.000920e+08,-2.394885e-03, -1.001167e-03
3.375910e+08,7.955599e-04, 7.859090e-04
3.750900e+08,-1.291418e-03, -1.363452e-03
4.125890e+08,-3.724852e-05, 2.376322e-04
4.500880e+08,1.736293e-04, 1.841920e-03
4.875870e+08,5.033835e-07, 3.769657e-05
5.250860e+08,-2.574182e-04, 9.389614e-04
5.625850e+08,-2.161656e-03, 3.120718e-03
6.000840e+08,-1.316281e-04, 2.009704e-04
6.375830e+08,-1.806958e-03, 1.146816e-03
6.750820e+08,-2.703158e-03, 9.436781e-04
7.125810e+08,7.255173e-04, 1.040699e-04
7.500800e+08,3.891411e-03, 8.410154e-04
7.875790e+08,7.530444e-04, 5.682210e-04
8.250780e+08,2.928341e-03, 2.627917e-03
8.625770e+08,3.741488e-03, 5.094196e-03
9.000760e+08,-1.007370e-03, -2.065335e-03
9.375750e+08,3.884520e-04, 3.082764e-03
9.750740e+08,-2.056327e-04, 8.820773e-04
1.012573e+09,1.120724e-03, -3.289258e-03
1.050072e+09,1.437832e-03, -2.742874e-03
1.087571e+09,-1.090465e-03, 1.094050e-03
1.125070e+09,1.917032e-03, -9.432053e-04
1.162569e+09,7.913891e-03, -2.620869e-03
1.200068e+09,-1.533639e-03, 2.892718e-04
1.237567e+09,1.090958e-03, 2.470498e-04
1.275066e+09,9.740396e-04, 6.023801e-04
1.312565e+09,-9.304717e-04, -6.955224e-04
1.350064e+09,-6.614555e-04, -8.275476e-04
1.387563e+09,-1.028193e-03, -2.897331e-03
1.425062e+09,-1.532096e-04, -1.510047e-03
1.462561e+09,5.135571e-05, 2.403649e-03
1.500060e+09,-2.383311e-04, 1.714018e-03
1.537559e+09,-1.265432e-03, 2.760329e-03
1.575058e+09,-2.791385e-03, 2.987770e-03
1.612557e+09,6.067163e-03, -3.241800e-03
1.650056e+09,-3.198308e-03, 1.017775e-03
1.687555e+09,-2.338363e-03, 2.369002e-04
1.725054e+09,1.739412e-03, 5.678868e-04
1.762553e+09,4.431779e-03, 2.196183e-03
1.800052e+09,-1.231247e-03, -1.056539e-03
1.837551e+09,1.324706e-03, 1.750032e-03
1.875050e+09,-5.830346e-04, -1.115154e-03
1.912549e+09,6.566144e-05, -5.000440e-04
1.950048e+09,-2.803150e-06, 1.047089e-03
1.987547e+09,2.947437e-04, -8.068727e-04
2.025046e+09,-2.405740e-04, 6.171226e-04
2.062545e+09,-4.023974e-03, 4.261060e-03
2.100044e+09,-2.762018e-03, 1.689860e-03
2.137543e+09,-2.650179e-04, 7.691932e-05
2.175042e+09,2.802742e-03, -2.040738e-04
2.212541e+09,1.112654e-03, 2.917304e-04
2.250040e+09,3.383065e-04, -1.745149e-04
2.287539e+09,2.883307e-03, 2.064538e-03
2.325038e+09,1.741514e-03, 1.931899e-03
2.362537e+09,-5.765121e-04, -1.880697e-03
2.400036e+09,-3.412805e-04, -2.592863e-03
2.437535e+09,4.673376e-04, -2.537367e-03
2.475034e+09,1.364938e-03, -2.721968e-03
