Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.499900000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-4.835078e+01
3.759900e+07,-4.594146e+01
7.509800e+07,-4.567004e+01
1.125970e+08,-5.022545e+01
1.500960e+08,-4.682204e+01
1.875950e+08,-5.076255e+01
2.250940e+08,-5.044599e+01
2.625930e+08,-4.631580e+01
3.000920e+08,-5.436842e+01
3.375910e+08,-4.781157e+01
3.750900e+08,-5.166237e+01
4.125890e+08,-5.168400e+01
4.500880e+08,-5.270102e+01
4.875870e+08,-4.300924e+01
5.250860e+08,-4.755262e+01
5.625850e+08,-4.713561e+01
6.000840e+08,-4.980475e+01
6.375830e+08,-4.962925e+01
6.750820e+08,-4.851305e+01
7.125810e+08,-5.214629e+01
7.500800e+08,-5.039595e+01
7.875790e+08,-4.703518e+01
8.250780e+08,-4.927963e+01
8.625770e+08,-4.900783e+01
9.000760e+08,-4.895711e+01
9.375750e+08,-4.794591e+01
9.750740e+08,-4.743629e+01
1.012573e+09,-4.720964e+01
1.050072e+09,-4.650172e+01
1.087571e+09,-4.938738e+01
1.125070e+09,-4.957265e+01
1.162569e+09,-4.676121e+01
1.200068e+09,-4.666855e+01
1.237567e+09,-5.005538e+01
1.275066e+09,-4.980758e+01
1.312565e+09,-4.914902e+01
1.350064e+09,-4.648826e+01
1.387563e+09,-4.712695e+01
1.425062e+09,-4.763415e+01
1.462561e+09,-4.671997e+01
1.500060e+09,-4.899522e+01
1.537559e+09,-4.379450e+01
1.575058e+09,-4.752733e+01
1.612557e+09,-4.865315e+01
1.650056e+09,-4.689151e+01
1.687555e+09,-4.869600e+01
1.725054e+09,-4.888907e+01
1.762553e+09,-4.655243e+01
1.800052e+09,-5.120635e+01
1.837551e+09,-4.821548e+01
1.875050e+09,-5.073661e+01
1.912549e+09,-4.666588e+01
1.950048e+09,-4.763714e+01
1.987547e+09,-4.456055e+01
2.025046e+09,-4.864913e+01
2.062545e+09,-4.671355e+01
2.100044e+09,-4.922042e+01
2.137543e+09,-4.937534e+01
2.175042e+09,-4.638797e+01
2.212541e+09,-4.592388e+01
2.250040e+09,-4.888595e+01
2.287539e+09,-4.444158e+01
2.325038e+09,-4.931642e+01
2.362537e+09,-4.955204e+01
2.400036e+09,-4.865775e+01
2.437535e+09,-4.628717e+01
2.475034e+09,-4.723132e+01
2.512533e+09,-4.817811e+01
2.550032e+09,-4.524515e+01
2.587531e+09,-4.750955e+01
2.625030e+09,-4.778329e+01
2.662529e+09,-4.644288e+01
2.700028e+09,-4.747865e+01
2.737527e+09,-4.816276e+01
2.775026e+09,-4.800415e+01
2.812525e+09,-4.142151e+01
2.850024e+09,-4.177477e+01
2.887523e+09,-4.529825e+01
2.925022e+09,-4.820884e+01
2.962521e+09,-4.822217e+01
3.000020e+09,-4.762818e+01
3.037519e+09,-4.324568e+01
3.075018e+09,-5.290302e+01
3.112517e+09,-4.310814e+01
3.150016e+09,-5.306434e+01
3.187515e+09,-5.079734e+01
3.225014e+09,-4.171693e+01
3.262513e+09,-4.426181e+01
3.300012e+09,-4.267761e+01
3.337511e+09,-3.770520e+01
3.375010e+09,-4.345132e+01
3.412509e+09,-4.283739e+01
3.450008e+09,-4.067049e+01
3.487507e+09,-4.136369e+01
3.525006e+09,-4.121698e+01
3.562505e+09,-4.132569e+01
3.600004e+09,-4.251891e+01
3.637503e+09,-4.196206e+01
3.675002e+09,-4.323891e+01
3.712501e+09,-4.113469e+01
3.750000e+09,-4.352431e+01
3.787499e+09,-4.359681e+01
3.824998e+09,-4.407041e+01
3.862497e+09,-4.508475e+01
3.899996e+09,-4.487005e+01
3.937495e+09,-4.553113e+01
3.974994e+09,-4.465469e+01
4.012493e+09,-4.377460e+01
4.049992e+09,-4.380995e+01
4.087491e+09,-4.207459e+01
4.124990e+09,-4.202292e+01
4.162489e+09,-4.169376e+01
4.199988e+09,-4.118580e+01
4.237487e+09,-4.063668e+01
4.274986e+09,-4.035765e+01
4.312485e+09,-4.009122e+01
4.349984e+09,-4.022152e+01
4.387483e+09,-3.804011e+01
4.424982e+09,-3.847393e+01
4.462481e+09,-3.951165e+01
4.499980e+09,-3.972757e+01
4.537479e+09,-3.752514e+01
4.574978e+09,-4.041999e+01
4.612477e+09,-4.074284e+01
4.649976e+09,-3.990684e+01
4.687475e+09,-3.981757e+01
4.724974e+09,-3.965263e+01
4.762473e+09,-3.780883e+01
4.799972e+09,-3.819964e+01
4.837471e+09,-3.887881e+01
4.874970e+09,-4.015067e+01
4.912469e+09,-3.998769e+01
4.949968e+09,-4.014421e+01
4.987467e+09,-4.072685e+01
5.024966e+09,-4.278424e+01
5.062465e+09,-3.939842e+01
5.099964e+09,-4.009787e+01
